xml_id,dimev_idno,match_kind,bodleian_shelfmark,cat_id,cat_url,n_facsimiles,facsimile_urls,file
BodArcSelB8,Arch. Selden B. 8,exact,MS. Arch. Selden. B. 8,manuscript_10020,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_10020,0,,collections/Arch_Selden/MS_Arch_Selden_B_8.xml
BodArcSelB10,Arch. Selden B. 10,exact,MS. Arch. Selden. B. 10,manuscript_8837,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8837,4,https://digital.bodleian.ox.ac.uk/objects/270c6bf0-258e-4911-8125-ad177ac4e1af/ https://digital.bodleian.ox.ac.uk/objects/332724d3-3465-4c35-9ba4-4d2cfe4ec8e8/ https://digital.bodleian.ox.ac.uk/objects/bf1a8d99-7cfb-4b54-ae89-230b6e475d37/ https://digital.bodleian.ox.ac.uk/objects/1ddea34c-b07c-4371-9623-0af8d20ee828/,collections/Arch_Selden/MS_Arch_Selden_B_10.xml
BodArcSelB11,Arch. Selden B. 11,exact,MS. Arch. Selden. B. 11,manuscript_8838,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8838,0,,collections/Arch_Selden/MS_Arch_Selden_B_11.xml
BodArcSelB14,Arch. Selden B. 14,exact,MS. Arch. Selden. B. 14,manuscript_8840,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8840,1,https://digital.bodleian.ox.ac.uk/objects/d163fb1e-6845-47de-80ba-ecb9ea67c46d/,collections/Arch_Selden/MS_Arch_Selden_B_14.xml
BodArcSelB24,Arch. Selden B. 24,exact,MS. Arch. Selden. B. 24,manuscript_8849,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8849,2,https://digital.bodleian.ox.ac.uk/objects/ea06c02c-cd3b-4bb7-9849-7a6813f99981/ https://digital.bodleian.ox.ac.uk/objects/cf732c16-c449-4e38-984f-7c81a67ff006/,collections/Arch_Selden/MS_Arch_Selden_B_24.xml
BodArcSelB26,Arch. Selden B. 26,exact,MS. Arch. Selden. B. 26,manuscript_8851,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8851,2,https://digital.bodleian.ox.ac.uk/objects/11d9f36c-2e48-47d3-b7a3-a9decd76fd28/ https://digital.bodleian.ox.ac.uk/objects/ce94b682-e2bd-4753-a435-56a206a5ae66/,collections/Arch_Selden/MS_Arch_Selden_B_26.xml
BodSelSup23,Selden Supra 23,exact,MS. Selden Supra 23,manuscript_8896,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8896,0,,collections/Selden_supra/MS_Selden_Supra_23.xml
BodSelSup52,Selden Supra 52,exact,MS. Selden Supra 52,manuscript_8922,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8922,0,,collections/Selden_supra/MS_Selden_Supra_52.xml
BodSelSup53,Selden Supra 53,exact,MS. Selden Supra 53,manuscript_8923,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8923,2,https://digital.bodleian.ox.ac.uk/objects/1d8b2d0a-4dc8-4597-9ef6-a3d8d55cd995/ https://digital.bodleian.ox.ac.uk/objects/cd9a07cd-d7cd-43b6-b0af-d507646dd4e8/,collections/Selden_supra/MS_Selden_Supra_53.xml
BodSelSup56,Selden Supra 56,exact,MS. Selden Supra 56,manuscript_8926,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8926,0,,collections/Selden_supra/MS_Selden_Supra_56.xml
