term,category,count,new term
"66 long lines in groups ranging from a couplet to six mono-rhyming lines; written as short lines in which even-numbered lines rhyme, abcb to abcbdbebfbgb",verseForms,1,DELETE
8-line,verseForms,2,8-line stanza
a,versePattern,4,1-line
aa,verseForms,2,2-line (couplet)
aa,versePattern,2792,2-line (couplet)
"aa with quatrain, abba, at end",versePattern,1,2-line (couplet)
aaa,verseForms,1,3-line stanza; monorhyme
aaa,versePattern,130,monorhyme; 3-line stanza
aaa + bcccc,versePattern,1,aaabcccc; 8-line stanza; subdivided stanza
"aaa, with internal rhyme",versePattern,1,monorhyme; 3-line stanza; internal rhyme
aaaa,verseForms,4,4-line stanza (quatrain); monorhyme
aaaa,versePattern,215,monorhyme; 4-line stanza (quatrain)
aaaaa,versePattern,23,monorhyme; 5-line stanza
aaaaaa,versePattern,9,monorhyme; 6-line stanza
aaaaaaa,versePattern,4,monorhyme; 7-line stanza
aaaaaaaa,versePattern,2,monorhyme; 8-line stanza
aaaaaaaaa,versePattern,1,monorhyme; 9-line stanza
aaaaaaaaaa,versePattern,1,monorhyme; 10-line stanza
aaaaaaaaaaaaaa,versePattern,1,monorhyme; 14-line stanza
aaaaaaaaaaaaaaaa,versePattern,1,monorhyme; 16-line stanza
aaaaaaaabb,versePattern,1,aaaaaaaabb; 10-line stanza
aaaaaaabab,versePattern,1,aaaaaaabab; 10-line stanza
aaaaaaabb,versePattern,1,aaaaaaabb; 9-line stanza
aaaaaabb,versePattern,1,aaaaaabb; 8-line stanza
aaaaabb,versePattern,3,aaaaabb; 7-line stanza
aaaaabbbb,versePattern,1,aaaaabbbb; 9-line stanza
aaaab,versePattern,12,aaaab; 5-line stanza
aaaabab,versePattern,1,aaaabab; 7-line stanza
aaaabb,versePattern,20,aaaabb; 6-line stanza
aaaabbb,versePattern,1,aaaabbb; 7-line stanza
aaaabbbacca,versePattern,1,aaaabbbacca; 11-line stanza
aaaabbbb,versePattern,1,aaaabbbb; 8-line stanza
aaaabbbcc,versePattern,2,aaaabbbcc; 9-line stanza
aaaabbbccd,versePattern,1,aaaabbbccd; 10-line stanza
aaaabbc,versePattern,1,aaaabbc; 7-line stanza
aaaabcb,versePattern,2,aaaabcb; 7-line stanza
aaaabccb,versePattern,1,aaaabccb; 8-line stanza
aaaabcccb,versePattern,5,aaaabcccb; 9-line stanza
aaab,versePattern,276,aaab; 4-line stanza (quatrain)
aaab + bb,versePattern,2,aaab; 4-line stanza (quatrain); carol
aaaba,versePattern,1,aaaba; 5-line stanza
aaabaaab,versePattern,7,aaabaaab; 8-line stanza
aaabaaabb,versePattern,1,aaabaaabb; 9-line stanza
aaabaaabbbbabbba,versePattern,1,aaabaaabbbbabbba; 16-line stanza
aaabaabb,versePattern,1,aaabaabb; 8-line stanza
aaabab,versePattern,10,aaabab; 6-line stanza
aaabababab,versePattern,1,aaabababab; 10-line stanza
aaababcccbcbdbdb,versePattern,1,aaababcccbcbdbdb; 16-line stanza
aaabb,verseForms,1,aaabb; 5-line stanza
aaabb,versePattern,22,aaabb; 5-line stanza
aaabbab,versePattern,1,aaabbab; 7-line stanza
aaabbb,versePattern,7,aaabbb; 6-line stanza
aaabbbb,versePattern,1,aaabbbb; 7-line stanza
aaabbbcc,versePattern,1,aaabbbcc; 8-line stanza
aaabbc,versePattern,3,aaabbc; 6-line stanza
aaabbcc,versePattern,2,aaabbcc; 7-line stanza
aaabbccc,versePattern,1,aaabbccc; 8-line stanza
aaabbccd,versePattern,1,aaabbccd; 8-line stanza
aaabc,versePattern,2,aaabc; 5-line stanza
aaabcb,versePattern,4,aaabcb; 6-line stanza
aaabcc,versePattern,1,aaabcc; 6-line stanza
aaabccb,versePattern,2,aaabccb; 7-line stanza
aaabcccb,versePattern,30,aaabcccb; 8-line stanza
aaabcccbdddbeeeb,verseForms,1,aaabcccbdddbeeeb; 16-line stanza
aaabcccbdddbeeeb,versePattern,7,aaabcccbdddbeeeb; 16-line stanza
aaabcccbdddbeeebfffbgggb,versePattern,1,aaabcccbdddbeeedfffbgggb; 24-line stanza
aaabcccbdede,versePattern,1,aaabcccbdede; 12-line stanza
aaabccccbdddbeeeb,versePattern,1,aaabccccbdddbeeeb; 17-line stanza
aaabccdbd,versePattern,1,aaabccdbd; 9-line stanza
aaabccddb,versePattern,1,aaabccddb; 9-line stanza
aab,versePattern,40,aab; 3-line stanza
aaba,versePattern,7,aaba; 4-line stanza (quatrain)
aabaab,versePattern,24,aabaab; 6-line stanza
aabaabaabaabcdddc,versePattern,1,aabaabaabaabcdddc; 17-line stanza
aabaabbaab,versePattern,2,aabaabbaab; 10-line stanza
aabaabbab,versePattern,6,aabaabbab; 9-line stanza
aabaabbbabba,versePattern,1,aabaabbbabba; 12-line stanza
aabaabbcbc,versePattern,2,aabaabbcbc; 10-line stanza
aabaabbcc,versePattern,1,aabaabbcc; 9-line stanza
aabaabcbcb,versePattern,1,aabaabcbcb; 10-line stanza
aabaabccbccb,versePattern,5,aabaabccbccb; 12-line stanza
aabaabccbddb,versePattern,5,aabaabccbddb; 12-line stanza
aabaabccdccd,versePattern,1,aabaabccdccd; 12-line stanza
aabaabddbeeb,versePattern,1,aabaabddbeeb; 12-line stanza
aabaac,versePattern,1,aabaac; 6-line stanza
aabab,versePattern,32,aabab; 5-line stanza
aababa,versePattern,2,aababa; 6-line stanza
aababbab,versePattern,1,aababbab; 8-line stanza
aabaccaaa,versePattern,1,aabaccaaa; 9-line stanza
aabaccdc,versePattern,1,aabaccdc; 8-line stanza
aabb,verseForms,1,aabb; 4-line stanza (quatrain)
aabb,versePattern,116,aabb; 4-line stanza (quatrain)
aabba,versePattern,17,aabba; 5-line stanza
