xml:id,country,settlement,repository,idno,altIdentifier 1,altIdentifier 2,name,head,history,adminInfo,note,catalog link,surrogate
MelSLV096G94,Australia,Melbourne,State Library of Victoria,*096/G94,,,,,,,,https://find.slv.vic.gov.au/permalink/61SLV_INST/1sev8ar/alma994851863607636 ,https://handle.slv.vic.gov.au/10381/93606
SanFlorXI57,Austria,Sankt Florian,Stiftsbibliothek,XI 57,,,,,,,,,
Antwerp305,Belgium,Antwerp,Museum Plantin-Moretus,M 305,olim MS lat. 57,,,,,,,,
Brussels2054,Belgium,Brussels,Bibliothèque Royale,2054,,,,,,,,https://uurl.kbr.be/bib/10737136,
Brussels4628,Belgium,Brussels,Bibliothèque Royale,7396,Van den Gheyn Cat. 4628,,,,,,,https://uurl.kbr.be/bib/17038463,
BrusselsIV354,Belgium,Brussels,Bibliothèque Royale,IV. 354,olim Sarum Officium Mortuorum,,,,"Sotheby's Sale, 10 Oct., 1962, Lot 146",,,https://uurl.kbr.be/bib/17282184,
BrusselsIV998,Belgium,Brussels,Bibliothèque Royale,IV. 998,,,,,,,,https://uurl.kbr.be/bib/10711118,https://uurl.kbr.be/bib/10711118
BrusselsIV231,Belgium,Brussels,Bibliothèque Royale,IV.231,,,,Horae Sarum,,,,https://uurl.kbr.be/bib/19517987,
Ghent317,Belgium,Ghent,Universiteitsbibliotheek,317,,,,,,,,https://libcatalog.ugent.be/permalink/32RUG_INST/1lsjlnc/alma990030433790409161,"https://libcatalog.ugent.be/view/UniversalViewer/32RUG_INST/12276508390009161?c=&m=&s=&cv=&xywh=-9976,-536,23830,11877&r=0"
McGill142,Canada,Montreal,McGill University Library,142,,,,,,,,https://mcgill.on.worldcat.org/oclc/1380393560,https://public-content.library.mcgill.ca/digitization/rbsc_ms-medieval-142.pdf
McGill143,Canada,Montreal,McGill University Library,143,,,,,,,,https://mcgill.on.worldcat.org/oclc/1380393548,https://babel.hathitrust.org/cgi/pt?id=mcg.ark:/13960/s26h6wwhmrh&seq=1
Victoria,Canada,Victoria,University of Victoria Special Collections and University Archives,Accession 1977-005,,,,Fall of Princes,,,,https://search.archives.uvic.ca/fall-of-princes-manuscript,https://doi.org/10.58066/jkp9-2d42
CopenRoy1727,Denmark,Copenhagen,Kongelige Bibliotek,Gl. kgl. S. 1727,,,,,,,,https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122876158605763,
CopenRoy1748,Denmark,Copenhagen,Kongelige Bibliotek,Gl. kgl. S. 1748,,,,,,,,https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122957794905763,
CopenRoy240,Denmark,Copenhagen,Kongelige Bibliotek,Gl. kgl. S. 240,,,,,,,,https://soeg.kb.dk/permalink/45KBDK_KGL/16bqo9j/alma99122748897205763,
CopenRoy248,Denmark,Copenhagen,Kongelige Bibliotek,Gl. kgl. S. 248 2o,,,,,,,,https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122876135405763,
CopenRoy3500,Denmark,Copenhagen,Kongelige Bibliotek,Gl. kgl. S. 3500 8o,,,,,,,,https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122957818705763,
CopenRoy3503,Denmark,Copenhagen,Kongelige Bibliotek,Gl. kgl. S. 3503,,,,,,,,https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122957835605763,
CopenThott110,Denmark,Copenhagen,Kongelige Bibliotek,Thott 110 4o (29264),,,,,,,,https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122244336205763,
CopenThott304,Denmark,Copenhagen,Kongelige Bibliotek,Thott 304 2o,,,,,,,,https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122696854105763,https://permalink.kb.dk/permalink/2006/manus/627/eng/
CopenThott306,Denmark,Copenhagen,Kongelige Bibliotek,Thott 306 2o,,,,,,,,https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122282081305763,
ArrBM184,France,Arras,Bibliothèque municipale,184 (254),,,,,,,,https://archive.org/details/CatalogueDesManuscritsCaron/page/n101/mode/2up,
Grenoble873,France,Grenoble,Bibliothèque municipale,873,,,,,,,,https://catalogue.bnf.fr/ark:/12148/cb13748190m,
Lille,France,Lille,Bibliothèque universitaire,204,,,,,,,,,
Mazar469,France,Paris,Bibliothèque Mazarine,469,,,,,,,,https://calames.abes.fr/pub/mazarine.aspx#details?id=MAZA11212,
Mazar514,France,Paris,Bibliothèque Mazarine,514,,,,,,,,https://calames.abes.fr/pub/mazarine.aspx#details?id=MAZA11442,
Mazar1716,France,Paris,Bibliothèque Mazarine,1716,,,,,,,,https://calames.abes.fr/pub/mazarine.aspx#details?id=MAZB11789,
