firstname,lastname,suffix
'Wyllughby',,
[?Jhon],Clerk,
[John?],'Mersar',
Adam,Davy,
Adam of,Cobsam,
Alain,Chartier,
Albertus,Magnus,
Andrew,Wintoun,
Anthony,Babington,
Anthony,Wydeville,(earl Rivers)
Arnoldus,de Villa Nova,
Augustine,of Hippo,
Bartholomeus,Anglicus,
Bede,,
Benedict,Burgh,(attrib.)
Benedict,Burgh,
Bernard of,Clairvaux,(attrib.)
Bernard of,Clairvaux,
Bernard of,Clairveaux,
Bernardus,Sylvestris,
Charles,d'Orléan,
Charles,d'Orléans, (?)
Charles,d'Orléans,
Christine,de Pisan,
Christine de,Pisan,
d'Orléans,d'Orléans,
Dorothy,Bokenham,
Duke of,York,(?)
Dunbar,Dunbar,
Edmund,Rich,Archibishop of Canterbury
Edmund,Turges,
Edward,Stafford,
Eleanor,Percy,(duchess of Buckingham)
Flavius,Vegetius,
Francesco,Petrarch,
Friar Michael,Kildare,
Friar Nicholas,Philip,None
Friar Nicholas,Philip,
Friar Nicolas,Philip,
Galfridi,Spirleng,
Gavin,Douglas,(attrib.)
Gavin,Douglas,
Gawin,Douglas,
Geoffrey,Chaucer, (attrib.)
Geoffrey,Chaucer,(?)
Geoffrey,Chaucer,(attrib.)
Geoffrey,Chaucer,[?]
Geoffrey,Chaucer,
Georg,Barclay,
George,Ashby,
George,Cely,
George,Ripley, (attrib.)
George,Ripley,(attrib.)
George,Ripley,
Gilbert,Banastar,
Gilbert,Banester,
Gilbert,Bannister,
Gilbert,Hay,
Giovanni,Boccaccio,
Giraldus,Cambrensis,
Guide de,Colonna,
Guillaume,Deguileville,
Guilliame de,Lorris,
gulielmum,molleum,
H.,Bowesper,
"Hendred,",None,prior of Leominster
Henry,Baradoun,
Henry,Berry,
Henry,Cooper,
Henry,Lovelich,
Henry,Medwall,
Hugh,Campeden,
Humfrey,Newton,(?)
Humfrey,Newton,
Humphrey,Brereton,(?)
Humphrey,Newton,
Ieuan ap Hywel Swrdwal,,
Iohannem,Crow,
Iohannes,Appilton,
Iohannes,Godsaluus,
Jacob,de Voraigne,
James,Inglis,(attrib.)
James,Packe,
James,Rayman,
James,Ryman, (?)
James,Ryman,?
James,Ryman,(?)
James,Ryman,
Jean de,Meun,
Johanne,mudy,
Johannes,Fleming,
Johanni,Brode,None
John,Arcuarius,OSA
John,Audelay, (?)
John,Audelay,(attrib.)
John,Audelay,
John,Audely,
John,Ball,
John,Barbour,
John,Brackley,
John,Bristow,(?)
John,Butler,Mayor of Waterford
John,Capgrave,
John,Clanvowe,
John,Clerk,
John,Crophill,
John,Gower,(attrib.)
John,Gower,
John,Grimestone,
John,Halden,
John,Hancok,
John,Harding,
John,Hardyng,
John,Herryson,
John,Hurleston,
John,Lacy,
John,Lucas,
John,Lydgate, (?)
John,Lydgate, (attrib.)
John,Lydgate,(?)
John,Lydgate,(attrib.)
John,Lydgate,[?]
John,Lydgate,
John,Mandeville,
John,Marion,
John,Merely,
John,Metham,
John,Midwinter,
John,Mirk,
John,Neuton,
John,Page,(attrib.)
John,Paston,I
John,Paston,III
John,Pigott,
John,Pympe,
John,Quixley,
John,Rastell,
John,Redford,
John,Russell,
John,Shirley,
John,Skelton, (?)
John,Skelton,(?)
John,Skelton,(attrib.)
John,Skelton,
John,Stow,
John,Trevisa,
John,Waldeby,
John,Walton,
John,Wilson,
John ,Lydgate,
John de,Fordun,
John de,Gaytryge,
John of,Bromyard,
John of,Hoveden,
Juliana,Berners,
Laurence,Calot,
Laurence,Minot,
Laurence,Wade,
Lawrence,Breton,
M. J.,Combe,
Margery,Brews,
Nicholas,Bozon,
Nicholas,Wikes,
