subject,category
'La Requeste',
"Abdon, saint",person
Abraham,person
absence/separation,
abuses of the age,
acrostics,
Adam and Eve,person
"Adare, Richard and Marion, of Kelshall (Herts.)",person
addresses to beloved,
"Adrian, saint",person
adultery,
Advent,
adversity,
advice,
advice to princes,
"Aethelbert, saint",person
"Aethelstan, king",person
"Aethelwold, saint",person
afterlife,
"Agatha, saint",person
ages of man's life,
"Agincourt, battle of",event
"Agnes, saint",person
agriculture,
"Alban, saint",person
alchemy,
Alcuin of York,person
"Aldhelm, saint",person
ale,
"Alexander, king",person
"Alexis, saint",person
"Alexius, saint",person
"All Saints, feast of",
All Souls' Day,
allegory,
alliteration,form
alliterative unrhymed,form
almsgiving,
alphabetic poems,
"Alphege, saint",person
"Ambrose, saint",person
"Amphibal, saint",person
"Amys, Thomas and Margery, of Barton (Norf.)",person
"Anastasia, saint",person
"Andrew, saint",person
angels,
angels and devils,
anger,
"Anicet, saint",person
animals,
"Anna de Hem, of Norwich, d. 1503",person
"Anne, saint",person
Annunciation,
"Anselm, saint",person
"Anthony, saint",person
antiphons,
aphorisms,
Apocalypse,
Apostles,
apostrophes,
apprenticeship,
arma Christi,
"Arthur, king",person
"Arthur, prince of Wales",person
Arthurian literature,genre
"Arundel, Thomas, Chancellor of England, archbp. of Canterbury",person
Ascension,
"Ascension, feast of",
"Assumption, feast of",
astrology/astronomy,
"Athelstan, king",person
"Augustine of Canterbury, saint",person
"Augustine of Hippo, saint",person
Ave Maria,
"Baker, John, of Bridgewater (Soms.)",person
bakers,
ballads,form
"Balliol, John",person
Ballotts,
"Banknot, William and Anne",person
"Bannockburn, battle of",event
"Barbara, saint",person
"Barber, Geoffrey",person
"Barbor, William, of New Buckenham (Norf.)",person
"Barcroft, George",person
"Baret, John, of Bury St. Edmunds",person
Barlaam and Josaphat,
"Barnabas, saint",person
"Bartholomew, bishop of Exeter",person
"Bartholomew, saint",person
"Barton, John, of London",person
"Bath, Somerset",place
battles,
beasts,
Beatitudes,
"Beaufort, John",person
"Bedbere, John",person
"Bede the Venerable, saint",person
"Belers, Roger, sir",person
"Benedict of Nursia, saint",person
Berengarius,
"Berkeley, John, sir, of Wymondham (Leics.)",person
"Bernard of Clairvaux, saint",person
"Berwick, Scotland",place
"Bettys, Thomas, sir",person
Bible,
"Bigot, Hugh",person
birds,
"birds, as narrators",
"Birinus, saint",person
bishops,
Black Agnes of Dunbar,
"Blasius, saint",person
blessings,
bloodletting,
boasting,
body and soul,
"body and soul, debate between",
"body, parts of",
Boethius,person
"Bontfant, Richard, of Stone (Kent)",person
bookplates,
"Booth, William, bishop of Coventry and Lichfield, 1447-52, tr. York 1452-64.",person
"Botolph, saint",person
"Brampton, battle of",event
"Brasier, Richard, Mayor of Norwich, 1510",person
"Brendan, saint",person
Breton lays,
"Brews, Elizabeth",person
bribery,
"Brice, saint",person
"Bridget of Sweden, saint",
"Bridget, saint",person
"Brigge, John, of Salle (Norf.)",person
Bristol,place
"Burlton, Catherine and Richard, of Dartford (Kent)",person
"Bury St Edmund's, Benedictine abbey of",
"Bury, John, OSA, of Clare, Suffolk",person
"Buxton, Norfolk",place
"Caesar, Augustus, emperor",
"Caesar, Julius",
Caiaphas,
"Caius, pope",
Calais,
calendars,
"Calixtus, pope",
"Calliope, muse",
Cambridge,
Candelmas,
"Cantelowe, Margaret, of Streatham (Surrey)",
"Canterbury, city of",
"Cantlow, John, Prior of Bath",
captions to pictures,transmission
carols,form
"carols, boars' head",
"carols, convivial",
"carols, holly and ivy",
"carols, humorous",
"carols, lullaby",
"carols, of repentance",
"carols, of saints",
"carols, of the Innocents",
"carols, secular",
Carpus,
catechisms,
"Catherine of Alexandria, saint",
Catherine of Aragon,
Cato,
"Caxton, John and Joane, of Canterbury",
"Caxton, William",
"Cecilia, saint",
"Celestin, saint",
"Ceman, saint",
"Chad, saint",
"Chalker, lords of",
"Chamberleyn, John, of London",
chansons d'aventure,
charity,
Charlemagne,
"Charles VII, King of France",
charms,
charters,
"charters, of Christ",
chastity,
"Chaucer, Geoffrey",
"Chaucer, Thomas",
chess,
Chester,
"Chichele, William",
children,
children's rhymes,
"children, instructions for the behavior of",
Christ,
"Christ, address to humankind",
"Christ, appeal of, to man",
"Christ, attributes of",
"Christ, birth of",
"Christ, blood of",
"Christ, body of",
"Christ, burial and resurrection",
"Christ, coming of",
"Christ, fifteen O's",
"Christ, gifts of",
"Christ, grace of",
"Christ, Incarnation of",
"Christ, life of",
"Christ, love of",
"Christ, love to sinners",
"Christ, love toward",
"Christ, prayers to",
"Christ, suffering of",
"Christ, triumph of",
"Christ, wounds of",
"Christina, saint",
Christmas,
"Christopher, saint",
chronicles,
"chronicles, verse in",transmission
Church,
"Circumcision, feast of",
"Clark, John",
"Clarrell, Margaret",
"Clarrell, William",
"Clement, saint",
clergy,
"Clerk, John, of Torrington (Devon)",
"clothing, against extremes of",
"Cobham, Eleanor",
cocks,
colophons,
comedy,
commemorative verse,
complaints,
"complexions, four",
"Conception, feast of",
confession,
contemporary conditions,
contest,
"Coppyn, John, of Whitstabell",
"Cornysshe, William",
"Corpus Christi, feast of",
corruption,
"Cosmas and Damian, saints",
counsel,
"Courtenay, William, Chancellor of Oxford",
courtesy books,
courtly love,
courts,
Coventry,
"Cowper, doctor",
Creation,
"Crecy, battle of",
Creeds,
"Cresacre, Alice",
"Cresacre, Percival",
"Crispin, saint",
"Crispinian, saint",
"Cromwell, Ralph, lord Treasurer",
cross,
"Cross, hours of",
crucifixion,
cryptograms,
"Crysanthus, saint",
Cupid,
Cupiditas,
curses,
"Cuthbert, saint",
"Dalusse, Robert, of London",
"Damas, pope",
"Daria, saint",
"David, king",
"de la Pole, William, duke of Suffolk",
"de Mandeville, Geoffrey, earl of Essex",
death,
"death, approach of",
"death, dance of",
"death, fear of",
"death, longing for",
"death, signs of",
debates,
dedication,
dedications,
"Denis, saint",
despair,
"Despencer, Hugh",
"Despenser, lady",
devil,
devotion,
dialogues,
Diana,
dice,
didactic verse,
Dido and Aeneas,
Disciples,
diseases,
divination,
"Dog, James, keeper of the Queen's Wardrobe",
doggerel,
dogs,
domestic life,
"Dominic, saint",
Doomsday,
"Dorothy, saint",
dragons,
dream visions,
dreams,
"dreams, interpretation of",
drinking songs,
drunkenness,
"Drury, Robert, sir",
duets,
Duke of Normandy,
duke of York,
Dunbar (Scotland),
"Dunbar, George, earl of Dunbar",
"Dunstan, saint",
"Eadburh, saint",
Easter,
"Ecgwine, saint",
Edinburgh,
"Editha, saint",
"Edmund of Abingdon, saint",
"Edmund, king of England, saint",
"Edmund, saint",
education,
Edward I,
Edward II,
Edward III,
Edward IV,
"Edward the Confessor, saint",
"Edward the Elder, saint",
Edward V,
Edward VI,
"Edward, duke of Buckingham",
"Edward, prince of Wales",
"Eger de Femyne, sir",
"Egidius, saint",
eight-line,form
"Eleanor [Cobham], duchess of Gloucester",
elegies,
"elements, four",
"Elizabeth of York, queen",
"Elizabeth, queen",
"Elizabeth, saint",
"Ellendune, battle of",
Ember Days,
"Emerentiana, saint",
England,
"England, kings of",
envoys,
epigrams,
epilogues,
Epiphany,
epistles,
epitaph,
epitaphs,
"Erasmus, saint",
"Erceldoune, Thomas of",
"Erkenwald, saint",
erotic verse,
estates literature,
"Esther, queen",
"Ethelbert, saint",
"Etheldreda, saint",
Eucharist,
"Eugenia, saint",
"Euphemia, saint",
"Euphrosine, saint",
"Eustace, saint",
"Evander, Pallas",
Evangelists,
"Evarist, saint",
Eve,
"Eve, creation of",
evils of the time,
executors,
exempla,
Exodus,
"Fabian, saint",
fables,
fabliau,
fabliaux,
"Faith, saint",
"fall and redemption, songs of",
falseness,
farewells,
"Farnham, William",
fasting,
"Fastolf, John, sir",
fathers and sons,
feasts,
"Felix III, pope",
fencing,
"fifteen, O's of Christ",
"Firmin, saint",
"FitzSimons, Walter, archbishop of Dublin",
Flanders,
flattery,
Flemings,
"Flint, Ann, of Norwich",
Flodden Feilde,
"flood, Noah's",
"Florence of Rome, empress",
flowers,
"Fogge, sir John, of Repton, Ashford, Kent",
food,
fools,
forests,
"Fortey, John, of Northleach (Gloucs.)",
fortune,
"fortune, wheel of",
"Foster, Stephen, of Ludgate?",
France,
"Francie, Dalphin and Margaret",
"Francis of Assisi, saint",
"Fraser, Simon, Sir",
"Fremund, saint",
friars,
"Frideswitha, saint",
friendship,
"Frise, Isaace",
"Fronton, saint",
"Fuyst, John (Mayor of Hereford)",
"Fuyst, Katherine",
"Gabriel, archangel",
gallants,
games,
gardening,
"Garter, Order of",
"Gate, Geoffrey, sir, of High Easter (Essex)",
Gawain,
"gentleman, qualities of",
"George, saint",
"Gerelaus, emperor",
"Germanus, saint",
"Giles, saint",
glosses,transmission
God,
"Godard, John",
"Godiva, lady",
"Godric, saint",
gossip,
governance,
grace,
"grace, at meals",
grammar,
"Gregory, saint",
Griffith ap Rhys,
"Guines, capture of",
"Guthlac, saint",
Guy of Warwick,
"Gwynneth, John",
"Hailes (Gloucs.), Cistercian abbey",
"Halidon Hill, battle of",
"Hancock, John",
"Harold, King",
"Harpur, John, of Rushall (Staffs.)",
"Haster, Harvey, minstrel",
"Hawles, Harry, of Arreton (Isle of Wight)",
healing,
Heaven,
"Helena, saint",
Hell,
Henry II,
Henry III,
Henry IV,
Henry V,
Henry VI,
Henry VII,
Henry VIII,
heraldry,
herbals,
hermits,
Herod,
Hertford,
"Hilarion, saint",
Hilary,
Hindburn,
"Hippolytus, saint",
history,
