Warnings from the latest run of `transform-Bibl.py`.

WARNING: Unprocessed `pubstmt` for item Addington1845: "Oxford: CK, 1845"
WARNING: Unprocessed `pubstmt` for item Adler1904: "22, anno 11. Vienna: Artaria, 1904"
WARNING: Unprocessed `pubstmt` for item Amours1892-97: "27 (1892), 38 (1897); Edinburgh, London: Blackwood, 1892-1897"
WARNING: Unprocessed `pubstmt` for item Anderson1793: "Edinburgh, 1793; London, 1795"
WARNING: Unprocessed `pubstmt` for item Andrew1978: "London: Edward Arnold, and Berkeley: University of California, 1978; repr. York Medieval Texts, second series"
WARNING: Unprocessed `pubstmt` for item Arnold1890-96: "96 (1890-96); repr. Kraus, 1965)"
WARNING: Unprocessed `pubstmt` for item Ashburnham1849: "London: C. F. Hodgson, [1849]-1864"
WARNING: Unprocessed `pubstmt` for item Aurner1926: "London: Philip Allan, 1926; repr. New York: Russel & Russel, 1965"
WARNING: Unprocessed `pubstmt` for item Badham2012a: "Oxford: Archaeopress, 2012, 170-225 (188)"
WARNING: Unprocessed `pubstmt` for item Banks1904-05: "126-127; repr. 1987 as one vol"
WARNING: Unprocessed `pubstmt` for item BatesonH1912: "Manchester, 1912; repr. Norwood, PA: Norwood Editions, 1975"
WARNING: Unprocessed `pubstmt` for item Baugh1935: "New York: Appleton-Century, 1935; rev. ed. Englewood Cliffs, NJ: Prentice-Hall, 1957"
WARNING: Unprocessed `pubstmt` for item Bawcutt1987: "vol. 1: 1375-1650. Edinburgh: Scottish Academic Pr., 1987"
WARNING: Unprocessed `pubstmt` for item Beadle1983a: "Norman, OK: Pilgrim, and Woodbridge: Boydell and Brewer, 1983"
WARNING: Unprocessed `pubstmt` for item BellR1877: "London: G. Bell, 1877; orig. ed. 1856"
WARNING: Unprocessed `pubstmt` for item Bell1782: "Edinburgh, 1782; repr. London: Cadell and Davies, 1807"
WARNING: Unprocessed `pubstmt` for item BenhamA1916: "New Haven: Yale University Press, 1916; repr. New York: Phaeton, 1968"
WARNING: Unprocessed `pubstmt` for item BenhamA1922: "Seattle: Washington State University, 1922, 2nd ed. rev., 1926"
WARNING: Unprocessed `pubstmt` for item BensonL1994: "Exeter: University of Exeter Press, 1986. Revised by Edward E. Foster, Kalamazoo, MI: Western Michigan University for TEAMS, 1994"
WARNING: Unprocessed `pubstmt` for item Bentham1771: "Cambridge: Cambridge University Press, 1771; 2nd ed. 1812"
WARNING: Unprocessed `pubstmt` for item Bergen1923: "Washington, D.C.: Carnegie Institute, 1923"
WARNING: Unprocessed `pubstmt` for item Bevington1972: "New York: Johnson, and Washington, D.C.: Folger Shakespeare Library, 1972"
WARNING: Unprocessed `pubstmt` for item Blades1858: "London: Blades, East & Blades, 1858; repr. Caxton, 1491"
WARNING: Unprocessed `pubstmt` for item Blades1859: "London: [Blades, East & Blades], 1859; trans. Earl Rivers; repr. Caxton, 1478"
WARNING: Unprocessed `pubstmt` for item Blades1869: "1491; repr. Westminster, 1869"
WARNING: Unprocessed `pubstmt` for item Blades1877: "London: Trübner, 1877; repr. Totowa, NJ: Rowman and Littlefield, 1971"
WARNING: Unprocessed `pubstmt` for item Blomefield1734-75: "Fersfield, 1734-75; 2nd ed. London: W. Miller, 1805-10 (11 vols.)"
WARNING: Unprocessed `pubstmt` for item Boodle1870: "Aylesbury: de Fraine for the Architectural and Archaeological Society for the County of Buckingham (1870), 106-19"
WARNING: Unprocessed `pubstmt` for item Boyd1955: "New York: Columbia University Press, 1955; San Marino, CA: Huntington Library, 1964"
WARNING: Unprocessed `pubstmt` for item Boyd1964: "New York: Columbia University Press, 1955; San Marino, CA: Huntington Library, 1964"
WARNING: Unprocessed `pubstmt` for item Bradshaw1864: "(Cambridge, 1889); not seen since used by Ellis 1867-74; not in BL Catalogue or Bradshaw’s Collected Papers"
WARNING: Unprocessed `pubstmt` for item Bridgett1890: "3rd ed. London: Burns & Oates; New York: Catholic Publishing Society, 1890"
WARNING: Unprocessed `pubstmt` for item Brie1906-08: "131 (1906), 136 (1908)"
WARNING: Unprocessed `pubstmt` for item Brook1948: "Manchester: Manchester University Press, 1948; rev. ed. 1956; 3rd ed. 1964"
WARNING: Unprocessed `pubstmt` for item Brown1924: "Oxford: Clarendon, 1924. 2nd ed., rev.: G. V. Smithers, Oxford, 1952"
WARNING: Unprocessed `pubstmt` for item BrownJTT1933: "4 (1933): 189-212"
WARNING: Unprocessed `pubstmt` for item Brusendorff1925: "Copenhagen, 1925; repr. Oxford: Clarendon, 1967"
WARNING: Unprocessed `pubstmt` for item Brydges1805-09: "London: Longman, 1805-09; 2nd ed., 1815"
WARNING: Unprocessed `pubstmt` for item Brydges1810-14: "London: T. Bersley, vol. 1: 1810; vols. 2, 3: 1812; vol. 4: 1814"
WARNING: Unprocessed `pubstmt` for item Bulbring1902: "Hallem a.d.S., 1902"
WARNING: Unprocessed `pubstmt` for item Busbie1609: "At London: Printed [by Thomas Purfoot] for Io : Busbie, and Geo : Loftis, and are to bee sould vnder St. Peters Church in Cornehill, 1609"
