versePatterns,count
"aa",2757
"aba",8
"aabbccc",3
"ababbcc",725
"ababbccddeefgfg",1
"ababbcbc",445
"aabab",32
"aabccb",184
"aaabcccb",30
"aaab",273
"aaabaaabb",1
"abababab",77
"abab",492
"abbaabababbaab",69
"aaaabb",20
"unrhymed",7
"aaaa",211
"aabb",115
"a",4
"aaa",121
"aaaabcccb",5
"ababbccc",1
"aabccbddbeeb",35
"irregularly rhymed",3
"aab",40
"ababcdcdefefgg",1
"aaabccb",2
"abcb",39
"ababccddb",1
"aabbcded",1
"alliteration",25
"rhyme royal",4
"aabbcc",16
"ababbc",1
"ababababcdddc",13
"ababcc",28
"abacbc",1
"ababc",17
"aabaab",25
"aabbccdd",7
"ababcdcd",29
"aabba",17
"aababbab",1
"abbabcbc",1
"aabbaa",2
"ababcccdcd",1
"aaabcb",4
"aabaabccbccb",5
"ababab",5
"ababbaabbb",1
"ababababbcbc",27
"ababbbcc",5
"aabcb",2
"aaabcccbdddbeeeb",7
"ababbccb",4
"aabaabbaab",2
"aabaabbcc",1
"aabaabbab",6
"aabccbddedde",1
"aaabaaab",7
"abba",16
"aaabab",10
"ababbbbc",1
"abaab",3
"ababababcdcd",13
"ababccbddb",2
"aaaaaaaabb",1
"ababccdeed",4
"aaaabccb",1
"ababccdd",2
"ababbb",2
"ababccc",2
"ababababcbc",2
"aabccbddeffe",4
"aabccbddbeebffgggf",1
"aabaabcbcb",1
"aaaabcb",2
"aaabb",20
"aabccbddb",4
"ababbaba",3
"irregular",15
"ababbbcbc",2
"aaabbb",7
"ababb",4
"aabaabccbddb",5
"aaaabbb",1
"ababbcdcd",8
"aaaabbbcc",2
"aaaaaaaaaaaaaaaa",1
"monorhyming",4
"abbaa",1
"aaaaaa",9
"aaaaa",23
"aabccbdd",2
"aaabbab",1
"aaabbbb",1
"tail-rime stanzas",1
"ababbccdd",2
"aabbcdcd",1
"ababcdcdcdcd",1
"abcbdbebfgf",1
"aabcbcdcecfgfhh",1
"abababababab",5
"four-line",1
"abab with all b-rhymes rhyming with each other",1
"ababcbcb",2
"ababbcbcdeeed",10
"two-line",3
"ababbcbccdcd",3
"aabccbddbeebfgggf",1
"aabaabaabaabcdddc",1
"aabbbaa",1
"roughly ababccbddb",1
"aabbb",4
"ababbaa",1
"ababababcc",3
"ababababccc",1
"ababbcb",1
"ababcbc",4
"acbaa",1
"ababacc",1
"ababababbaba",1
"aaabbc",3
"aabbcddc",3
"ababbcbbc",3
"abcbccbc",1
"abcbcbcb",1
"aaaaaaabb",1
"abababab or abababab",1
"aaabaaabbbbabbba",1
"aaabbcc",2
"ababbccdcd",7
"aabc",2
"ababbab",1
"seven-line",4
"ababccbccb",1
"alliterative",4
"abbb",4
"ababbcbc>",1
"couplets",1
"abaa",1
"abba including internal rhyme in second line",1
"monorhyme",2
"ababccd",2
"aaaab",12
"aaba",7
"aabbaac",1
"abaccca",2
"abcbdb",2
"ababbcbcd",1
"abcccd",1
"heroic",1
"internal",3
"aabaabbbabba",1
"aabccdd",1
"abcbdbeb",4
"ababababcab",1
"ababbcddc",3
"abcc",1
"abababbcbc",1
"abac",3
"aaaabbbacca",1
"abbccc",1
"abcbdd",1
"aaabccddb",1
"ababababb",1
"ababcdcdefef",3
"ababbcbd",2
"aabbaaaaabaabbaaab",1
"aabbbbcc",2
"aaabccdbd",1
"aabaabbcbc",2
"aabcbc",6
"abbbb",2
"abbacc",1
"aabbcbbc",1
"aabaac",1
"aabbcbc",5
"aabccbddeffegghiih",1
"ababbbc",1
"aaaabbc",1
"ababbcbc (roughly)",1
"aabaabccdccd",1
"aaaaaaaa",2
"abbabaa",1
"abcbdefe",2
"ababababababababccdccd",1
"abababa",1
"aaaabbbb",1
"aaaaabbbb",1
"abababcc",2
"ababababdee",1
"abaaa",1
"ababbccdeed",3
"aabbc",2
"aaaba",1
"ababccdede",1
"ababccddefef",1
"abb",5
"abcdbcec",1
"abababcd",1
"aaab + bb",2
"abcb dede fgfg",1
"aaabababab",1
"abaaab",1
"ababcdd",1
"abbbc",2
"alliteration, internal rhyme",1
"ababa",4
"aabbaaa",1
"ababaa",1
"ababbbbb",1
"aaabbccd",1
"abc",7
"abaac",1
"abbac",2
"ab",11
"abcdebfd",1
"ababababba",1
"ababababab",1
"aabcdd",2
"aaabcccbdede",1
"aaa, with internal rhyme",1
"aaaabbbccd",1
"abbaba",1
"ababcdcde",1
"ababccdccd",1
"aabbbbbb",1
"aabbcccd",1
"aaabbbcc",1
"ababaababa",1
"abababab+cdddc",1
"ababababcdccd",1
"ababccdcd",1
"aabcbccdd",1
"ababbaab",1
"abbcc",4
"aaabc",2
"abbaababababba",1
"ababbaacac",1
"ababacac",2
"abbbaaababbabbbaabbba",1
"ababbccdeeed",1
"ababccccdd",1
"abcdc",1
"ababbcbcbdddb",1
"aaaaaaaaa",1
"aaaaabb",3
"aaababcccbcbdbdb",1
"aabccd",1
"abbaaba",1
"aabbaaabaabaabbaaabba",2
"ababbccdede",1
"ababbcaac",1
"ababaa(x)",1
"ababababababababcdcd",1
"abbba",1
"abcdbdddb",1
"ababababccdddc",2
"abababccded",1
"bb",1
"aabccbddbeebff",1
"aaabcc",1
"aabcbcb",1
"abcbca",1
"ababababccdccd",1
"aabaccaaa",1
"aabbaabccbddb",1
"monorhymed",1
"ababcded",1
"irregular monorhyming",1
"aabbba",1
"aba (or abcb)",1
"aa with quatrain, abba, at end",1
"ababababcdc",2
"nine-line",2
"ababcdefegch",1
"aabbaaabaab + aabbaaabba",1
"babbcc",1
"cdcd",1
"varying rhyme (usually ababcdcd)",1
"aaaaaabb",1
"ababababa",1
"abacc",1
"abcbccddef",1
"ababbccbcb",1
"ababbccd",1
"abacdcdb",1
"abcbdbeebfgfg",1
"ababbcbc with some interlocking rhymes",1
"ababcdddc",3
"ababababcbab",1
"ababbcbcdd",1
"aaaaaaabab",1
"ababcbcbdd",1
"medial",1
"irregular rhyme, partly blank verse(?)",1
"aacd",1
"abababaab",1
"aaabccccbdddbeeeb",1
"aabbaaabaabaababaabba",1
"cdcc",1
"abcabc",1
"abbab",1
"ababacd",1
"ababbaabbaab",1
"ababbabaababbcc",1
"aaaaaaaaaa",1
"aabcbcc",1
"ababbcccb",1
"abbcdcca",1
"ababbccbc",1
"abccca",1
"aaaaaaa",4
"ababcdcdee",1
"couplet",1
"abcaabd",1
"abaabbcdeed",1
"bbbb",1
"ababababbbedde",1
"ababcddc",1
"aabcbcdddefffegggg",1
"abcbddeffe",1
"ababbccdccd",1
"ababcccddd",1
"aaabcccbdddbeeebfffbgggb",1
"aaabaabb",1
"aaaaaaaaaaaaaa",1
"ababccddcd",1
"ababababbcccb",1
"aabaabddbeeb",1
"abbaabaabbaa",1
"ababbcac",1
"ababccdde",1
"abbaabbaaabbaa",1
"ababbabba",1
"ababaab",1
"aabcccd",1
"aaaabab",1
"aabbbbb",1
"abbbaaababbaababaabba",1
"aaa + bcccc",1
"abcbac",1
"aaabbccc",1
"ababbbccc",1
"aabaccdc",1
"ababbcbcdedeefef",1
"ababbcbcddd",1
"ababcc aabccb",1
"aabccb aabccb",3
"couplet — aa",1
"aabbccddee",1
"aababa",2
